0x0001|各号注意，站综合信息检查五分钟准备
0x0002|站综合信息检查一分钟准备
0x0003|起飞
0x0004|站综合信息检查停
0x0023|各号注意，对塔无线检查
0x0005|各号注意，下面进入基地程序
0x0006|各号注意，起飞信号检查五分钟准备
0x0007|起飞信号检查一分钟准备
0x0009|各号注意，起飞信号检查停
0x0010|各号注意，第一次综合检查五分钟准备
0x0011|第一次综合检查一分钟准备
0x0013|各号注意，第一次综合检查停
0x0014|各号注意，模拟信息检查五分钟准备
0x0016|模拟信息检查一分钟准备
0x0018|各号注意，模拟信息检查停
0x0019|各号注意，模飞检查五分钟准备
0x0020|模飞检查一分钟准备
0x0022|各号注意，模飞检查停
0x0024|各号自跟踪检查
0x0025|各号自跟踪复查
0x0026|各号注意，第二次综合检查五分钟准备
0x0027|第二次综合检查一分钟准备
0x0030|各号注意，第二次综合检查停
0x0033|五分钟准备
0x0034|一分钟准备
0x0037|分机参数下发
0x0014|模拟信息检查五分钟准备
0x0003|点火
0x0003|发射
